name,definition,type,group,examples,hashtags,origin,synonyms
Абибас,одежда - подделка под фирму «Adidas» с лейблом «Adidas».,"-а, м. ",(гопники),"Из машины вылезли серьёзные лысые пацаны в спортивных костюмах «Абибас».  • Лично меня эти цены нисколько не впечатляют, потому что это настоящий абибас. Что можно сделать из такой ткани?  • Современный геймер меняет абибас и кепку на джинсики с заклепками.  • Глава семейства лежит в штанах АбиБас перед телевизором.  • Я чоткая шмара, люблю семке и ягуар, типа фсё важуре, нашу абибас и кепку.  • Одеяния гопнические стандартные: спортивный костюм абибас, футболка абибас, заправленная в штаны, туфли и неизменная кэпка. ",#Гопники ,NonNone,NonNone
Абик,абонемент.,"-а, м.",NonNone,"Я купила абик в клуб, завтра первая тренировка.  • Абик на фитнес я не окуплю и по времени, и по желанию (я ж не могу себе позволить купить абик, а потом «болеть»).  •  Лоханулся и не успел взять абик на этот сектор.  •  У кого есть абик на матч ЦСКА-Спартак и не сможет пойти — пишите, я готов купить.  • Скажите, пожалуйста, поменять абик в магазине Ред-Вайт-Спорт внутри сектора на другое место можно? ",#Общие ,NonNone,NonNone
Абила,"Активный навык, используемый персонажем в игре.",Существительное мужской род ,(геймеры),NonNone,#Геймеры ,"от англ. ability — способность, возможность, умение.","абилка, абилити."
абилка,"Способность, полученная при прохождении компьютерной игры или любое другое умение, полученное в реальной жизни.","сущ., ж.р. ",(гемейры),NonNone,#Геймеры ,От англ. ability - способность.,"Способность, умение, навык."
Абитура,"абитуриенты, люди, поступающие в учебное заведение.","-е, ж. ",(студенты),"(1) В холле сплошная абитура.  • Видел сегодня новую абитуру! Закачаешься!  • Каждый год перед абитурой встаёт вечный вопрос, а какой собственно, факультет выбрать?  • Прикинь, такое писать абитурам будущих поколений?(2) Этим летом сезон абитуры в двух крупнейших владимирских вузах принес сюрпризы.  • Еще будучи ученицей одиннадцатого класса, я задумывалась о самой важной, судьбоносной в жизни выпускников поре  —  абитуре.  • Еще во время абитуры я справляла день рождения. ",#Студенты ,NonNone,"абитуха, абита"
Абитуха,"абитуриенты, совокупность всех поступающих в вуз.","-и, ж. ",(студенты),"Летом в стенах универа ходит много абитухи.  • Неее... абитуха, я просто в шоке. Неужели вы спасовали перед вступительными? ",#Студенты ,Сокр. и искаж. от абитуриенты.,"абитура, абита"
Абориген,местный житель.,"-а, м. ","(спорт. туристы, ролевики)","Главное, если это будет какой-нибудь абориген, не удивить своим внешним видом,уж больно подозрительно относятся деревенские люди к ролевикам.  • Аборигены палатку в драгметаллы не отнесут?  •  Аборигены-моряки оказались Колей и Сашей.  • Хорошо, что среди уральской зимы встречаются аборигены, знающие о местных дорогах и направлениях. ",#Общие #Ролевики #Студенты ,NonNone,NonNone
Абрек,"кавказец, выходец с Кавказа; но иногда в смысле любой нерусский - иммигрант азиатского происхождения.","-а, м. ",(бонхеды),"Абреки совсем попутали!  - Пойдем их гасить?  • Ты че с ним тусишь? Он же с абреков.  • Что-то абречиной завоняло (чурки пришли).  • Абрек - не человек( поговорка в стиле 14/88).  • Этот вопрос надо адресовать разного рода полуграмотным абрекам, которые сюда понаехали.  • Из сумок вываливались мятые дензнаки, которые абреки, комкая, небрежно распихивали по карманам.   • Теперь обжившиеся в той же Москве абреки зовут своих родственников и друзей как на грибное место.  • Вломят ГУВД за паспортный режим - и количество абреков в нерезиновой сократится.  • Я родилась в Москве, мои родители прожили тут пол своей жизни и такие слова как «абрек» или «понаехали» я слышала только от самих «понаехавших». ",#Общие ,NonNone,NonNone
абсурд,"нелепость, бессмыслица.",NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Абуба,Прозвище главного героя игры «DRAMAtical Murder» и одноименного аниме.,"сущ., м.р. ",(анимудрочеры),"Абубу знают все, никто не может его не знать.
Ш - АБУБА. ",#Аниме ,Аоба — Абуба.,NonNone
абузить,В Доте 2 под этим значением подразумевают использование каких либо ошибок игры для получения выгоды себе.,гл. ,"(игры, геймеры)",NonNone,#Геймеры #РПГ ,"происходит от abuse, в переводе значит «злоупотреблять».",NonNone
абуминог,"Оскорбление, унижение, насмешка.","сущ., м. р. ",(жаргон),Ну ты конечно абуминог. ,#Общие ,NonNone,"амеба, тарантул."
Абуэма,Знак приветствия среди узкого круга людей.,Существительное ,(Модные парни),АБУЭМА!!!! Мой барнакл обычно. ,#Общие ,Во время сливной игры в SA-MP.,Нету.
абыр,Бессмысленная отрыжка блевотины.,Междометие,NonNone,"Абыр! Абыр! Мааама дорогая... Нет! Абыр! Вот так! Маамочка, дорогая... Ещё парочку! Абыр! Абыр!
Абырвалг! ",#Общие ,Рыба наоборот.,Голм.
абьюзер,"человек который выходит за рамки допустимого в какой то системе, пользуется ей для каких-то либо противоправных действиях (спам) либо с целью повреждения системы.","сущ., м.р ",(интернет),NonNone,#Общие #Интернет ,NonNone,"абузер, абюзер, обюзер"
АВ,"Abyss Walker, персонаж «Lineage 2» со второй профессией, отличающийся уворотливостью и скоростью атаки, использует нож или кинжал.",аббрев. ,"(геймеры, РПГ, Линейка)","«Факт в том что ТХ по статам решает, АВ он больше на скилах выежает.» • «Тут все просто — 79лвл АВ рвёт ТХ 1 на 1. Хотя, напомню, дело случая. Я про это имел ввиду, да и стоит расматривать 79, ибо там многое меняется у дагеров. ТХ становится ножом масс пвп, АВ убиватором рукопашных ДД, особенно ножей, 1 на 1.». ",#РПГ #Линейка ,транслитерация англ. аббрев. AW — Abyss Walker.,AW
Ава,доспех Авадон (Avadon) в игре «Lineage 2».,"-ы, ж. ","(геймеры, РПГ, Линейка)","(1) «Продам коневода 74 лвл BlackBird ава роба, с меч акум. скин тёлки, нормальный русский ник.» • «У меня там СХ 60 лвл, ава сет и частично БО.». ",#РПГ #Линейка ,NonNone,NonNone
Ава,"картинка «лица» на форуме или блоге, подробнее см. аватар, аватара, аватарка.","-ы, ж. ",(интернет),До 200 пикселей ава будет небольшая чуть больше стандартной. • Там появится чья-та ава и вопрос - не обращай внимания. • Ава для вконтакте - сделать несложно в краткие сроки. ,#Интернет ,NonNone,NonNone
ава,главная фотография в в контакте.,NonNone,NonNone,NonNone,#Интернет ,NonNone,NonNone
Авапёр,"игрок, который ходит со снайперской винтовкой AWP.","-а, м. ","(геймеры, шутеры, Контр-Страйк)",Там авапер сидит с авп за углом. ,#Геймеры #Шутеры #Контр-Страйк ,NonNone,авепешник.
Авас,одна из многочисленных ипостасей мема Вассерман Анатолий.,"-а, м.",NonNone,NonNone,#Интернет ,Сокр. от Анаталий Вассерман.,NonNone
АВАС,см. Вассерман.,"-а, м., имя. собств.",NonNone,NonNone,#Интернет ,Сокращение Анатолий Вассерман.,NonNone
Аватар,"картинка, которую пользователь выбирает себе в качестве «лица» на форумах и блогах.","-а, м. ",(интернет),NonNone,#Интернет ,NonNone,"аватара, аватарка авчик, ава"
Аватара,картинка рядом с текстом поста или коммента .,"-ы, ж. ","(интернет, каменты)",Для общения в интернете мы выбираем себе ники и аватары. ,#Падонки #Интернет ,"От философского термина аватара — инкарнация, воплощение, происходит из языка санскрит.","аватар, аватарка авчик, ава"
Аватарка,"фотография на ICQ, в форуме, блоге и т.п.","-и, ж. ",(интернет),NonNone,#Интернет ,NonNone,"аватар, аватара, , авчик, ава"
Авдотья,автомобиль фирмы «Ауди».,"-и, ж. ",(автолюбители),"Приехали на битой «Авдотье» • Отогнал свою авдотью к дому, где понял, что из под капота доносится гарь.  • Сучара на авдотье без глушака обдолбанный летает по чугунке. • Установили на эту «Авдотью» передний бампер нового образца. ",#Автолюбители ,NonNone,"Авдей, Авдюха"
Авдюха,автомобиль фирмы «Audi».,"-и, ж. ",(автолюбители),По сравнению с другими немецкими авто  авдюха лучше всех чувствует себя на наших «автобанах». Давай сегодня вечером загоняй свою авдюху ко мне в гараж. Разборок Авдеев гораздо больше разборок Тойот Равликов и Джипов Вранглеров. ,#Автолюбители ,NonNone,"авдей, авдеич, авдотья"
Аве,Приветствие.,"сущ., ср.р.",NonNone,"Гай Светоний Транквилл писал, что римские гладиаторы перед боем обращались к Цезарю со словами «Ave Caesar! Morituri te salutant!» (в переводе с латыни «Аве Цезарь, идущие на смерть приветствуют тебя!»). ",#Общие ,"Латинская фраза, которую использовали римляне, в качестве приветствия.",ave
А сегодня я покакал,"Предложение, показывающие безразличие к тому что сказал другой человек.",словосочетание ,"(Анонимы, тролли, хикки)","-Где можно обсудить проблемы кишечника?
-В /pokakal.

-Какая твоя любимый раздел нульчана?
-/pokakal. ",#Социальныесети ,"(происхождение второго значения) раздел был добавлен на Нульчан из-за того, чтобы люди не рассказывали об туалетном юморе и своих кишечных проблемах в /b, и писали это в /pokakal.",NonNone
А то,да — выражения подтверждения.,союз и частица,NonNone,— Ты знаешь такого чела...? — А то!!! ,#Общие ,NonNone,да.
Абаля,вот это конфуз!.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Абанамат,восклицание раздражения или удивления.,междометие,NonNone,"Абанамат!!! Холодильник сломался не вовремя.  •  Абанамат! — сказал кладовщик.  • Если что-то раздражало деда, он хмурил брови и низким голосом восклицал: - Абанамат! (Сергей Довлатов)  • Абанамат! Кошмар, у меня в авто накрылся бензонасос!  • Абанамат, Билайн, абанамат!  • Абанамат! Тока что обнаружил, что пролошил билет на Гришковца. ",#Общие ,NonNone,"Искажение, эвфемизм матероного выражения, из повести Сергей Довлатова «Наши»."
Абапер,программист на языке ABAP/4.,"-а, м. ","(айтишники
, прогеры)","У абаперов, как правило, все проекты — это костыли и твики того, что написали их немецкие друзья. Нет возможности развернуться, соответственно никаких архитекторов у них, в общем, нет.  • Абапер хорошо разбирается в функционировании системы.  • Вакансий для программистов для «АБАПеров» и «АДских программистов» не так много, как у их коллег в сфере Java и C++.  • Сейчас под моим началом команда косультантов по логистике, торо и несколько абаперов.  • Коллега абапер от нас ушел с 92 тыр на договор в одно предприятие SAP/ABAP на 290 тысяч что-ли. ",#Айтишники ,"от англ. ABAPer, имеющего ровно то же значение.",АБАПер
Абассака,коммент к смешному креатиффу.,"-и, ж. ",(каменты),NonNone,#Падонки ,NonNone,"абасцака, ицпадстол, ицпадстул, обоссака, пацталом, пацтулом, ржунимагу."
абгрейд,"АПГРЕ́ЙД
1.Модернизация компьютера, обновление его программ и т.",Мужской род спец. ,(IT),"А ты абгрейдил(апгрейдил) виндовс, до 10? ",#Айтишники #Интернет ,"Сфера IT, от EN слова upgrade.",АПГРЕ́ЙД.
абдул,Обзывание хачей.,сущ.м.р ,(хачи),Абдул хач. ,#Общие ,NonNone,хас.
абдул,Мужское кавказское имя.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
аберглау,Просто ляпнул - и забыл.,Существительное ,(По всюду),Тоже что и Аберглау. ,#Общие ,город Сальск.,АбайКалаУмаласаи.
Абзац,(предикатив) оценка ситуации как очень плохой.,"-а, м.",NonNone,"Главную антипремию «за худшее все в литературе» — «Полный абзац» — получила книга... • Полный абзац обычно наступает, а частичный только крадётся, вернее подкрадывается.  • Печка — это абзац какой-то, мотора за ней не слышно. • Но вот то, что Прарусским языком является не украинский, а беларусский —  это абзац! ",#Общие ,"эвфемизм, созвучие матному слову.","пипец, капец."
Абздольц,(предикатив) оценка ситуации как очень плохой.,NonNone,NonNone,И начался тут полный абздольц!  • Сессию перенесли - абздольц! (4) Музыкальный коллектив из Киева «Абздольц» готовит для своих почитателей две новые пластинки. ,#Общие ,NonNone,"(1), (2) пипец, ппц, каюк, капец,  вешалка, трындец, крышка, кранты (3) офигеть, охренеть."
Абибас,одежда - подделка под фирму «Adidas» с лейблом «Adidas».,"-а, м. ",(гопники),"Из машины вылезли серьёзные лысые пацаны в спортивных костюмах «Абибас».  • Лично меня эти цены нисколько не впечатляют, потому что это настоящий абибас. Что можно сделать из такой ткани?  • Современный геймер меняет абибас и кепку на джинсики с заклепками.  • Глава семейства лежит в штанах АбиБас перед телевизором.  • Я чоткая шмара, люблю семке и ягуар, типа фсё важуре, нашу абибас и кепку.  • Одеяния гопнические стандартные: спортивный костюм абибас, футболка абибас, заправленная в штаны, туфли и неизменная кэпка. ",#Гопники ,NonNone,NonNone
Абик,абонемент.,"-а, м.",NonNone,"Я купила абик в клуб, завтра первая тренировка.  • Абик на фитнес я не окуплю и по времени, и по желанию (я ж не могу себе позволить купить абик, а потом «болеть»).  •  Лоханулся и не успел взять абик на этот сектор.  •  У кого есть абик на матч ЦСКА-Спартак и не сможет пойти — пишите, я готов купить.  • Скажите, пожалуйста, поменять абик в магазине Ред-Вайт-Спорт внутри сектора на другое место можно? ",#Общие ,NonNone,NonNone
Абила,"Активный навык, используемый персонажем в игре.",Существительное мужской род ,(геймеры),NonNone,#Геймеры ,"от англ. ability — способность, возможность, умение.","абилка, абилити."
абилка,"Способность, полученная при прохождении компьютерной игры или любое другое умение, полученное в реальной жизни.","сущ., ж.р. ",(гемейры),NonNone,#Геймеры ,От англ. ability - способность.,"Способность, умение, навык."
Абитура,"абитуриенты, люди, поступающие в учебное заведение.","-е, ж. ",(студенты),"(1) В холле сплошная абитура.  • Видел сегодня новую абитуру! Закачаешься!  • Каждый год перед абитурой встаёт вечный вопрос, а какой собственно, факультет выбрать?  • Прикинь, такое писать абитурам будущих поколений?(2) Этим летом сезон абитуры в двух крупнейших владимирских вузах принес сюрпризы.  • Еще будучи ученицей одиннадцатого класса, я задумывалась о самой важной, судьбоносной в жизни выпускников поре  —  абитуре.  • Еще во время абитуры я справляла день рождения. ",#Студенты ,NonNone,"абитуха, абита"
Абитуха,"абитуриенты, совокупность всех поступающих в вуз.","-и, ж. ",(студенты),"Летом в стенах универа ходит много абитухи.  • Неее... абитуха, я просто в шоке. Неужели вы спасовали перед вступительными? ",#Студенты ,Сокр. и искаж. от абитуриенты.,"абитура, абита"
Абориген,местный житель.,"-а, м. ","(спорт. туристы, ролевики)","Главное, если это будет какой-нибудь абориген, не удивить своим внешним видом,уж больно подозрительно относятся деревенские люди к ролевикам.  • Аборигены палатку в драгметаллы не отнесут?  •  Аборигены-моряки оказались Колей и Сашей.  • Хорошо, что среди уральской зимы встречаются аборигены, знающие о местных дорогах и направлениях. ",#Общие #Ролевики #Студенты ,NonNone,NonNone
Абрек,"кавказец, выходец с Кавказа; но иногда в смысле любой нерусский - иммигрант азиатского происхождения.","-а, м. ",(бонхеды),"Абреки совсем попутали!  - Пойдем их гасить?  • Ты че с ним тусишь? Он же с абреков.  • Что-то абречиной завоняло (чурки пришли).  • Абрек - не человек( поговорка в стиле 14/88).  • Этот вопрос надо адресовать разного рода полуграмотным абрекам, которые сюда понаехали.  • Из сумок вываливались мятые дензнаки, которые абреки, комкая, небрежно распихивали по карманам.   • Теперь обжившиеся в той же Москве абреки зовут своих родственников и друзей как на грибное место.  • Вломят ГУВД за паспортный режим - и количество абреков в нерезиновой сократится.  • Я родилась в Москве, мои родители прожили тут пол своей жизни и такие слова как «абрек» или «понаехали» я слышала только от самих «понаехавших». ",#Общие ,NonNone,NonNone
абсурд,"нелепость, бессмыслица.",NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Абуба,Прозвище главного героя игры «DRAMAtical Murder» и одноименного аниме.,"сущ., м.р. ",(анимудрочеры),"Абубу знают все, никто не может его не знать.
Ш - АБУБА. ",#Аниме ,Аоба — Абуба.,NonNone
абузить,В Доте 2 под этим значением подразумевают использование каких либо ошибок игры для получения выгоды себе.,гл. ,"(игры, геймеры)",NonNone,#Геймеры #РПГ ,"происходит от abuse, в переводе значит «злоупотреблять».",NonNone
абуминог,"Оскорбление, унижение, насмешка.","сущ., м. р. ",(жаргон),Ну ты конечно абуминог. ,#Общие ,NonNone,"амеба, тарантул."
Абуэма,Знак приветствия среди узкого круга людей.,Существительное ,(Модные парни),АБУЭМА!!!! Мой барнакл обычно. ,#Общие ,Во время сливной игры в SA-MP.,Нету.
абыр,Бессмысленная отрыжка блевотины.,Междометие,NonNone,"Абыр! Абыр! Мааама дорогая... Нет! Абыр! Вот так! Маамочка, дорогая... Ещё парочку! Абыр! Абыр!
Абырвалг! ",#Общие ,Рыба наоборот.,Голм.
абьюзер,"человек который выходит за рамки допустимого в какой то системе, пользуется ей для каких-то либо противоправных действиях (спам) либо с целью повреждения системы.","сущ., м.р ",(интернет),NonNone,#Общие #Интернет ,NonNone,"абузер, абюзер, обюзер"
АВ,"Abyss Walker, персонаж «Lineage 2» со второй профессией, отличающийся уворотливостью и скоростью атаки, использует нож или кинжал.",аббрев. ,"(геймеры, РПГ, Линейка)","«Факт в том что ТХ по статам решает, АВ он больше на скилах выежает.» • «Тут все просто — 79лвл АВ рвёт ТХ 1 на 1. Хотя, напомню, дело случая. Я про это имел ввиду, да и стоит расматривать 79, ибо там многое меняется у дагеров. ТХ становится ножом масс пвп, АВ убиватором рукопашных ДД, особенно ножей, 1 на 1.». ",#РПГ #Линейка ,транслитерация англ. аббрев. AW — Abyss Walker.,AW
Ава,доспех Авадон (Avadon) в игре «Lineage 2».,"-ы, ж. ","(геймеры, РПГ, Линейка)","(1) «Продам коневода 74 лвл BlackBird ава роба, с меч акум. скин тёлки, нормальный русский ник.» • «У меня там СХ 60 лвл, ава сет и частично БО.». ",#РПГ #Линейка ,NonNone,NonNone
Ава,"картинка «лица» на форуме или блоге, подробнее см. аватар, аватара, аватарка.","-ы, ж. ",(интернет),До 200 пикселей ава будет небольшая чуть больше стандартной. • Там появится чья-та ава и вопрос - не обращай внимания. • Ава для вконтакте - сделать несложно в краткие сроки. ,#Интернет ,NonNone,NonNone
ава,главная фотография в в контакте.,NonNone,NonNone,NonNone,#Интернет ,NonNone,NonNone
Авапёр,"игрок, который ходит со снайперской винтовкой AWP.","-а, м. ","(геймеры, шутеры, Контр-Страйк)",Там авапер сидит с авп за углом. ,#Геймеры #Шутеры #Контр-Страйк ,NonNone,авепешник.
Авас,одна из многочисленных ипостасей мема Вассерман Анатолий.,"-а, м.",NonNone,NonNone,#Интернет ,Сокр. от Анаталий Вассерман.,NonNone
АВАС,см. Вассерман.,"-а, м., имя. собств.",NonNone,NonNone,#Интернет ,Сокращение Анатолий Вассерман.,NonNone
Аватар,"картинка, которую пользователь выбирает себе в качестве «лица» на форумах и блогах.","-а, м. ",(интернет),NonNone,#Интернет ,NonNone,"аватара, аватарка авчик, ава"
Аватара,картинка рядом с текстом поста или коммента .,"-ы, ж. ","(интернет, каменты)",Для общения в интернете мы выбираем себе ники и аватары. ,#Падонки #Интернет ,"От философского термина аватара — инкарнация, воплощение, происходит из языка санскрит.","аватар, аватарка авчик, ава"
Аватарка,"фотография на ICQ, в форуме, блоге и т.п.","-и, ж. ",(интернет),NonNone,#Интернет ,NonNone,"аватар, аватара, , авчик, ава"
Авдотья,автомобиль фирмы «Ауди».,"-и, ж. ",(автолюбители),"Приехали на битой «Авдотье» • Отогнал свою авдотью к дому, где понял, что из под капота доносится гарь.  • Сучара на авдотье без глушака обдолбанный летает по чугунке. • Установили на эту «Авдотью» передний бампер нового образца. ",#Автолюбители ,NonNone,"Авдей, Авдюха"
Авдюха,автомобиль фирмы «Audi».,"-и, ж. ",(автолюбители),По сравнению с другими немецкими авто  авдюха лучше всех чувствует себя на наших «автобанах». Давай сегодня вечером загоняй свою авдюху ко мне в гараж. Разборок Авдеев гораздо больше разборок Тойот Равликов и Джипов Вранглеров. ,#Автолюбители ,NonNone,"авдей, авдеич, авдотья"
Аве,Приветствие.,"сущ., ср.р.",NonNone,"Гай Светоний Транквилл писал, что римские гладиаторы перед боем обращались к Цезарю со словами «Ave Caesar! Morituri te salutant!» (в переводе с латыни «Аве Цезарь, идущие на смерть приветствуют тебя!»). ",#Общие ,"Латинская фраза, которую использовали римляне, в качестве приветствия.",ave
"Аве Хоггарт, аве сотона","Восхищение, порицание, удивление чему-либо.",фразеологизм ,(твиттерские),"Сегодня к первой паре, надеюсь не просплю, аве хоггарт аве сотона.
Аве хоггарт! Ты с ума сошел?
Аве хоггарт, аве сотона, Хоггарт мать? ",#Общие #Интернет ,От твиттерского Хоггарт.,"аве господин, боже, омфг, омг, госпаде, блоть, иисусе."
Авео,автомобиль «Шевроле Авео» (Chevrolet Aveo).,нескл. ,(автолюбители),Одной рукой открыть капот Авео нереально.  • Ты гоняешь на Авео — приезжай-ка к нам скорее! ,#Автолюбители ,NonNone,NonNone
Авепешник,"снайпер — типичный персонаж компьютерных игр, например контры.",NonNone,"(геймеры, шутеры)","Опять авепешник на сервер зашел.  • Напишите кто кем хочет играть: минёром авепешником и так далее.  • Класный игрок авепешник это 70% победы команды.  • Больше всего меня заинтересовала игра их авепешника, ну просто мега реакция.  • Я увидел как авепешник вышел — стрельнул и свалил сразу — пока он паузу делает для выстрела.  • Я сеня с узи троих авепешников на мосту на ацтеке шлепнул. ",#Геймеры #Шутеры ,От бренда AWP — название снайперской винтовки английской разработки.,кемперка
Авер,антивирусная программа для компьютера.,"-а, м ",(айтишники),"Авер не ловит вирус.   • Лежит exeшник вируса, базы обновляю регулярно, но авер молчит. •  Авира удивила недавно, оказалось нод не может побороть некоторые вирусы, даже с последней базой. ",#Айтишники ,NonNone,"антивирус, антивир, авир, авира."
Авик,видеофайл в метаформате («медиа-контейнере») AVI.,"-а, м. ",(айтишники),NonNone,#Айтишники ,Англ аббрев. AVI Audio Video Interleave — букв. аудио и видео поочередно.,"авишник, авишка  авиха."
Авишка,видеофайл в метаформате («медиа-контейнере») AVI.,"-и, ж. ",(айтишники),NonNone,#Айтишники ,Англ аббрев. AVI Audio Video Interleave — букв. аудио и видео поочередно.,"авишник, авик,  авиха."
Авишник,видеофайл в метаформате («медиа-контейнере») AVI для MS Windows.,"-а, м. ",(айтишники),NonNone,#Айтишники ,Англ аббрев. AVI Audio Video Interleave — букв. аудио и видео поочередно.,"авик, авишка, авиха."
Авоська,игра на основе ЧГК .,"-и, ж. ","(ИИ, термин)",NonNone,#Термины ,NonNone,NonNone
авп,20.6 калибра способна пробить очень мощьнкю броню.,снайпрская винтовка ,(слон),NonNone,#Геймеры ,NonNone,NonNone
Австралопитек,"человек с низким интеллектом, либо неприлично себя ведущий в обществе.","-а, м. ",(обзывательство),"Это что за австралопитеки? (на орущую толпу).  • Ты австралопитек гребанный, здохни как мамонт!  • Сам ты австралопитек!  • Не слушай его он австралопитек!  • Если ты прогнозируешь свой день по звёздам и веришь в астрологию, значит ты австралопитек.  • Если Серёжка обезьяна, то ты австралопитек. ",#Общие ,Научное название ископаемых древних диких людей.,"обезьяна,  дебил, дибилоид."
Автаз,район улицы Автозаводской в Москве.,"-а, м. ",(топоним),"Давай встретимся на Автазе с Вованом.  • Все те кто живёт и тусует на Автазе.  • У нас на автазе.  • Автаз, родной автаз!  • Итого, 20 чел поехали на Автаз, так сказать производить зачистку.  • Автаз преобразится: высотки паркинги торговые центры. ",#Топонимы ,NonNone,NonNone
Автар,"см, аффтар.","-у, м.",NonNone,NonNone,#Интернет #Падонки ,NonNone,NonNone
Автик,автобус.,"-а, м.",NonNone,"Мы с пациками на автике едем в падик курить сиги.  •  Поехали на этом автике.  • Нас возил бесплатный отельный автик.  • Опоздать на автик, застрять в пробке.  • Мы прошли пешком еще пару остановок и у развилки сели в автик.  •  — А откуда автик ходит?  — С автовокзала.  • Автик мужественно преодолел все выпавшие ему на обратном пути испытания, щедро даримые родными россейскими дорогами.  • Сели в автик, и гдето в центре в этот же автик села индуска. ",#Общие ,NonNone,NonNone
